Latitude,Longitude,City,State,Entity,Score,Title,URL,IA URL,Description,Picture  Pull the website in the window)?,Expertise,lat,long,Rank,
33.8054° S,150.9888° E,Sydney,,,1,,,,,,,-33.8054,150.9888,14,
25.0343° N,77.3963° W,Nassau,,,1,,,,,,,25.0343,-77.3963,10,
50.8503° N,4.3562° E,Brussels,,,1,,,,,,,50.8503,4.3562,19,
51.0543° N,3.7174° E,,Flanders,,1,,,,,,,51.0543,3.7174,2,
50.5985° N,4.3278° E,Nivelles  Genappe,,,1,,,,,,,50.5985,4.3278,27,
50.8495° N, 4.3525° E,Brussels ,,,1,,,,,,,50.8495,4.3525,29,
50.8511° N,4.3548° E,Brussels ,,,1,,,,,,,50.8511,4.3548,23,
50.8487° N,4.3493° E,Brussels ,,,1,,,,,,,50.8487,4.3493,11,
51.9331° N,4.2734° E,Maasland,,,1,,,,,,,51.9331,4.2734,28,
51.0000° N,4.5000° E,Vlaanderen,,,1,,,,,,,51,4.5,16,
51.2194° N,4.4025° E,Antwerp,,,1,,,,,,,51.2194,4.4025,24,
50.8466° N,4.3528° E,Brussells,,,1,,,,,,,50.8466,4.3528,3,
50.8949° N,4.3410° E,Brussells,,,1,,,,,,,50.8949,4.341,25,
50.4100° N,4.4444° E,Charleroi,,,1,,,,,,,50.41,4.4444,6,
51.2125° N ,4.3975° E,Antwerp,,,1,,,,,,,51.2125,4.3975,9,
50.5039° N,4.4699° E,Brussells,,,1,,,,,,,50.5039,4.4699,11,
38.8339° N,104.8214° W,Flemish Brabant,,,1,,,,,,,38.8339,-104.8214,12,
50.8530° N,4.3505° E,Brussels ,,,1,,,,,,,50.853,4.3505,10,
15.7801° S,47.9292° W,Brassila,,,1,,,,,,,-15.7801,-47.9292,30,
27.5954° S,48.5480° W,Santa Catarina,,,1,,,,,,,-27.5954,-48.548,22,
42.7339° N,25.4858° E,Sofia,,,1,,,,,,,42.7339,25.4858,2,
42.6977° N,23.3219° E,,Sofia,,1,,,,,,,42.6977,23.3219,18,
42.6986° N,23.3198° E,,Sofia,,1,,,,,,,42.6986,23.3198,8,
43.6532° N,79.3832° W,Toronto,,,1,,,,,,,43.6532,-79.3832,24,
37.9577° N,121.2908° W,Stockton,,,1,,,,,,,37.9577,-121.2908,15,
45.4000° N,71.8990° W,Sherbrooke,,,1,,,,,,,45.4,-71.899,22,
38.5816° N,121.4944° W,Sacremento,,,1,,,,,,,38.5816,-121.4944,7,
34.0551° N,117.7497° W,Pomona,,,1,,,,,,,34.0551,-117.7497,13,
36.7372° N,119.7871° W,Fresno,,,1,,,,,,,36.7372,-119.7871,9,
 51.0447° N,114.0719° W,Calgary,,,1,,,,,,,51.0447,-114.0719,11,
46.4927° N,80.9910° W,Sudbury,,,1,,,,,,,46.4927,-80.991,27,
43.4643° N,80.5204° W,Waterloo,,,1,,,,,,,43.4643,-80.5204,12,
42.9745° N,79.8663° W,Haldimand,,,1,,,,,,,42.9745,-79.8663,18,
 51.0447° N,114.0719° W,Calgary,,,1,,,,,,,51.0447,-114.0719,17,
53.9166° N,122.7530° W,Prince George,,,1,,,,,,,53.9166,-122.753,17,
49.8951° N,97.1384° W,Winnipeg,,,1,,,,,,,49.8951,-97.1384,19,
43.6529° N,79.3849° W,Toronto,,,1,,,,,,,43.6529,-79.3849,22,
49.8460° N,99.9530° W,Brandon,,,1,,,,,,,49.846,-99.953,2,
49.8951° N,97.1384° W,Winnipeg,,,1,,,,,,,49.8951,-97.1384,27,
46.8139° N,71.2080° W,Quebec,,,1,,,,,,,46.8139,-71.208,6,
49.2827° N, 123.1207° W,Vancouver,,,1,,,,,,,49.2827,-123.1207,18,
48.3809° N,89.2477° W,Thunder Bay,Ontario,,1,,,,,,,48.3809,-89.2477,3,
42.9860° N,79.7990° W,Haldimand ,Ontario,,1,,,,,,,42.986,-79.799,30,
42.9860° N,79.7990° W,Haldimand ,Ontario,,1,,,,,,,42.986,-79.799,25,
42.9860° N,79.7990° W,Haldimand County,Ontario,,1,,,,,,,42.986,-79.799,9,
46.1041° N,77.5035° W,Deep River,,,1,,,,,,,46.1041,-77.5035,6,
42.9849° N,81.2453° W,London,,,1,,,,,,,42.9849,-81.2453,4,
51.0447° N,114.0719° W,,Calgary,,1,,,,,,,51.0447,-114.0719,26,
43.2557° N,79.8711° W,Hamilton,,,1,,,,,,,43.2557,-79.8711,22,
48.4284° N,123.3656° W,Victoria ,BC,,1,,,,,,,48.4284,-123.3656,8,
42.9860° N,79.7990° W,Haldimand,,,1,,,,,,,42.986,-79.799,9,
43.2557° N,79.8711° W,Hamillton,,,1,,,,,,,43.2557,-79.8711,14,
49.2827° N,123.1207° W,Vancouver,,,1,,,,,,,49.2827,-123.1207,11,
49.4401° N,123.2714° W,Sunshine Coast,,,1,,,,,,,49.4401,-123.2714,11,
49.2827° N,123.1207° W,Vancouver,,,1,,,,,,,49.2827,-123.1207,26,
45.3948° N,75.7032° W,Peel,,,1,,,,,,,45.3948,-75.7032,25,
45.0185° N,74.7281° W,Cornwall,,,1,,,,,,,45.0185,-74.7281,22,
42.9712° N,79.8658° W,Haldimand County,,,1,,,,,,,42.9712,-79.8658,15,
44.1382° N,77.4653° W,Durham,Ontario,,1,,,,,,,44.1382,-77.4653,9,
45.5017° N,73.5673° W,Montreal,,,1,,,,,,,45.5017,-73.5673,7,
42.9712° N,79.8658° W,Haldiman County,,,1,,,,,,,42.9712,-79.8658,22,
46.8139° N,71.2080° W,Quebec,Quebec,,1,,,,,,,46.8139,-71.208,10,
 51.0447° N,114.0719° W,Calgary,,,1,,,,,,,51.0447,-114.0719,12,
45.4000° N,71.9000° W,Sherbrooke,,,1,,,,,,,45.4,-71.9,17,
42.9712° N,79.8658° W,Haldiman County,,,1,,,,,,,42.9712,-79.8658,28,
42.9712° N,79.8658° W,Pickering,,,1,,,,,,,42.9712,-79.8658,2,
53.9333° N,116.5765° W,Alberta,,,1,,,,,,,53.9333,-116.5765,13,
46.8139° N,71.2080° W,,Quebec,,1,,,,,,,46.8139,-71.208,25,
53.5444° N,113.4909° W,Edmonton ,,,1,,,,,,,53.5444,-113.4909,3,
45.5017° N,73.5673° W,Montreal,Quebec,,1,,,,,,,45.5017,-73.5673,5,
46.8139° N,71.2080° W,Flemish Brabrant,,,1,,,,,,,46.8139,-71.208,6,
49.2827° N,122.7984° W,Coquitlam,British Columbia ,,1,,,,,,,49.2827,-122.7984,28,
43.6532° N,79.3832° W,Toronto,,,1,,,,,,,43.6532,-79.3832,6,
53.5444° N,113.4909° W,Edmonton,,,1,,,,,,,53.5444,-113.4909,10,
53.2896° N,102.8038° W,Carrot River,,,1,,,,,,,53.2896,-102.8038,4,
 51.0447° N,114.0719° W,Calgary,,,1,,,,,,,51.0447,-114.0719,11,
46.8139° N,71.2080° W,,Quebec,,1,,,,,,,46.8139,-71.208,12,
48.4284° N,123.3656° W,Victoria,BC,,1,,,,,,,48.4284,-123.3656,19,
46.8139° N,71.2080° W,,Quebec,,1,,,,,,,46.8139,-71.208,5,
48.6595° N,123.6019° W,Shawnigan Lake,,,1,,,,,,,48.6595,-123.6019,25,
45.3985° N,72.7324° W,Granby,,,1,,,,,,,45.3985,-72.7324,26,
45.5475° N,73.7222° W,LavaldesRapides,,,1,,,,,,,45.5475,-73.7222,10,
46.8139° N,71.2080° W,,Quebec,,1,,,,,,,46.8139,-71.208,15,
46.8139° N,71.2080° W,,Quebec,,1,,,,,,,46.8139,-71.208,24,
45.3948° N,75.7032° W,Peel,,,1,,,,,,,45.3948,-75.7032,28,
51.4664° N,109.1352° W,,Saskatchewan,,1,,,,,,,51.4664,-109.1352,22,
49.8951° N,97.1384° W,Winnipeg,,,1,,,,,,,49.8951,-97.1384,24,
48.4284° N,123.3656° W,Victoria ,BC,,1,,,,,,,48.4284,-123.3656,10,
49.1365° N,102.9914° W,Estevan,,,1,,,,,,,49.1365,-102.9914,24,
49.6955° N,112.8450° W,Lethbridge,,,1,,,,,,,49.6955,-112.845,17,
49.6955° N,112.8450° W,Lethbridge,,,1,,,,,,,49.6955,-112.845,21,
51.2538° N,85.3232° W,,Ontario,,1,,,,,,,51.2538,-85.3232,25,
42.9409° N,79.8587° W,Haldimand,,,1,,,,,,,42.9409,-79.8587,10,
51.2538° N,85.3232° W,,Ontario,,1,,,,,,,51.2538,-85.3232,25,
51.2538° N,85.3232° W,,Quebec,,1,,,,,,,51.2538,-85.3232,3,
43.5183° N,79.8371° W,Halton,,,1,,,,,,,43.5183,-79.8371,18,
46.8139° N,71.2080° W,Quebec,,,1,,,,,,,46.8139,-71.208,2,
44.3894° N,79.6903° W,Barrie,,,1,,,,,,,44.3894,-79.6903,19,
44.3894° N,79.6903° W,Barrie,,,1,,,,,,,44.3894,-79.6903,12,
48.4284° N,123.3656° W,Victoria ,BC,,1,,,,,,,48.4284,-123.3656,21,
52.1332° N,106.6700° W,,Saskatchewan,,1,,,,,,,52.1332,-106.67,26,
51.0447° N,114.0719° W,Calgary,AB,,1,,,,,,,51.0447,-114.0719,5,
45.5017° N,73.5673° W,Peel,,,1,,,,,,,45.5017,-73.5673,5,
